# Chunk-averaged data for fix bowForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_bowComp
  1 42 -1.36189
  2 42 0.59341
  3 42 -0.665867
  4 42 -3.13376
  5 42 -2.09931
  6 42 -3.09109
  7 42 -3.65015
  8 42 -0.543703
  9 42 -0.373596
  10 42 -0.882436
  11 42 -2.85307
  12 42 3.12437
  13 42 -2.13709
  14 42 -1.09914
  15 42 -2.82677
  16 42 0.468157
  17 42 1.90692
  18 42 -0.0638609
  19 42 1.8584
  20 42 -2.39145
4800 20 840
  1 42 -2.38491
  2 42 -0.203441
  3 42 -0.783156
  4 42 1.22345
  5 42 -1.362
  6 42 -2.58691
  7 42 0.537825
  8 42 -2.44801
  9 42 -0.454429
  10 42 1.22126
  11 42 -3.47156
  12 42 -0.160016
  13 42 -2.76003
  14 42 -1.4357
  15 42 2.3661
  16 42 -1.81417
  17 42 -1.32152
  18 42 1.24585
  19 42 -1.30956
  20 42 -1.50046
4900 20 840
  1 42 -2.45156
  2 42 1.08884
  3 42 3.81758
  4 42 0.198785
  5 42 2.38955
  6 42 0.994678
  7 42 -1.74984
  8 42 0.608142
  9 42 -1.05684
  10 42 3.25183
  11 42 -2.08768
  12 42 -1.70289
  13 42 -0.819585
  14 42 0.622902
  15 42 2.30072
  16 42 -1.01282
  17 42 0.7313
  18 42 -1.97272
  19 42 1.78196
  20 42 2.04673
5000 20 840
  1 42 0.998227
  2 42 -0.124346
  3 42 -0.508556
  4 42 -0.229496
  5 42 2.06945
  6 42 -1.65189
  7 42 2.26906
  8 42 0.38617
  9 42 3.13538
  10 42 -2.1724
  11 42 0.623771
  12 42 0.0575955
  13 42 1.76244
  14 42 0.0626367
  15 42 0.624719
  16 42 -2.5433
  17 42 0.173049
  18 42 0.186938
  19 42 1.07943
  20 42 0.122902
5100 20 840
  1 42 1.68247
  2 42 -1.2062
  3 42 3.4191
  4 42 -3.47888
  5 42 -0.0886486
  6 42 -2.06445
  7 42 2.2299
  8 42 -1.00432
  9 42 -1.26235
  10 42 -2.87267
  11 42 1.55475
  12 42 -0.886624
  13 42 -2.12979
  14 42 -0.986239
  15 42 -1.42043
  16 42 0.0245695
  17 42 2.17139
  18 42 0.785794
  19 42 -2.99295
  20 42 -0.568713
5200 20 840
  1 42 1.43521
  2 42 -2.64172
  3 42 1.40996
  4 42 3.49565
  5 42 -1.34189
  6 42 1.64161
  7 42 0.922618
  8 42 1.09067
  9 42 2.82254
  10 42 1.25336
  11 42 -1.62574
  12 42 -1.65508
  13 42 0.776364
  14 42 0.836586
  15 42 -3.15141
  16 42 1.12988
  17 42 0.114174
  18 42 2.41542
  19 42 -1.10773
  20 42 1.55612
5300 20 840
  1 42 3.19148
  2 42 -2.87654
  3 42 -0.425493
  4 42 1.83332
  5 42 3.15991
  6 42 2.04753
  7 42 1.89441
  8 42 -1.63108
  9 42 2.38787
  10 42 -0.77854
  11 42 0.666171
  12 42 -1.05635
  13 42 2.44734
  14 42 -0.353995
  15 42 1.03785
  16 42 2.40343
  17 42 -1.03277
  18 42 1.08601
  19 42 -1.81822
  20 42 0.000530071
5400 20 840
  1 42 2.2816
  2 42 1.33564
  3 42 4.8371
  4 42 1.40734
  5 42 2.07059
  6 42 0.580929
  7 42 -1.67367
  8 42 -1.59015
  9 42 0.469493
  10 42 -1.79629
  11 42 -4.04031
  12 42 0.412119
  13 42 2.14255
  14 42 -1.04332
  15 42 2.10646
  16 42 0.466517
  17 42 1.95701
  18 42 1.18671
  19 42 4.51658
  20 42 -1.46348
5500 20 840
  1 42 0.819016
  2 42 1.37552
  3 42 3.54273
  4 42 3.84589
  5 42 1.28484
  6 42 0.442043
  7 42 0.0627224
  8 42 -0.108311
  9 42 -1.8777
  10 42 0.704247
  11 42 3.28403
  12 42 -1.37216
  13 42 -0.00879209
  14 42 -2.78972
  15 42 2.46466
  16 42 1.3457
  17 42 2.8615
  18 42 -0.627365
  19 42 3.03657
  20 42 1.09583
5600 20 840
  1 42 2.68337
  2 42 1.39897
  3 42 0.40895
  4 42 0.311409
  5 42 1.76304
  6 42 -1.56155
  7 42 0.654422
  8 42 -0.619325
  9 42 0.903244
  10 42 1.12545
  11 42 0.62868
  12 42 1.28315
  13 42 -0.680392
  14 42 0.526884
  15 42 0.769904
  16 42 2.37072
  17 42 -0.449079
  18 42 0.146105
  19 42 0.878975
  20 42 -0.552421
5700 20 840
  1 42 -0.231097
  2 42 0.104414
  3 42 0.580235
  4 42 1.21919
  5 42 1.18838
  6 42 4.47447
  7 42 -0.503464
  8 42 -2.58913
  9 42 2.41435
  10 42 -2.7899
  11 42 -0.0714172
  12 42 0.592009
  13 42 0.549392
  14 42 2.88241
  15 42 -2.06315
  16 42 4.31686
  17 42 1.36649
  18 42 3.38314
  19 42 -2.40039
  20 42 0.458493
5800 20 840
  1 42 -0.125966
  2 42 1.9509
  3 42 -1.32275
  4 42 -1.09984
  5 42 -1.81827
  6 42 -2.13988
  7 42 -2.07086
  8 42 0.545989
  9 42 -1.9746
  10 42 1.2529
  11 42 1.43068
  12 42 2.85778
  13 42 -1.37907
  14 42 2.48058
  15 42 0.244214
  16 42 -0.775742
  17 42 2.81977
  18 42 -0.0570568
  19 42 0.652984
  20 42 4.62226
5900 20 840
  1 42 -4.10925
  2 42 0.361588
  3 42 3.91296
  4 42 1.202
  5 42 0.361815
  6 42 -4.88337
  7 42 -1.69033
  8 42 1.47214
  9 42 -1.86373
  10 42 3.43216
  11 42 -0.0519752
  12 42 2.58148
  13 42 -1.31947
