# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
  10 42 1.55276
  11 42 0.194408
  12 42 0.182264
  13 42 0.113115
  14 42 0.318682
  15 42 0.139612
  16 42 -1.96111
  17 42 -0.0842247
  18 42 -0.416604
  19 42 0.740506
  20 42 -0.338263
4100 20 840
  1 42 -0.0545095
  2 42 -0.399362
  3 42 1.86902
  4 42 -0.721577
  5 42 -0.771906
  6 42 -2.19653
  7 42 1.27471
  8 42 0.0308761
  9 42 0.624311
  10 42 0.23433
  11 42 -0.165219
  12 42 -0.647226
  13 42 0.532911
  14 42 -0.157315
  15 42 0.138986
  16 42 -0.603537
  17 42 0.419769
  18 42 0.250421
  19 42 0.442189
  20 42 -1.35924
4200 20 840
  1 42 0.802484
  2 42 -1.26717
  3 42 0.621973
  4 42 1.59636
  5 42 -1.20915
  6 42 -0.654383
  7 42 1.14397
  8 42 -0.375029
  9 42 1.64303
  10 42 -0.188687
  11 42 0.575308
  12 42 -0.802731
  13 42 -0.335128
  14 42 0.199395
  15 42 0.578429
  16 42 1.09518
  17 42 0.15036
  18 42 -0.463917
  19 42 -0.557437
  20 42 0.714243
4300 20 840
  1 42 1.08718
  2 42 0.480467
  3 42 0.962191
  4 42 -0.654657
  5 42 -0.824784
  6 42 1.02971
  7 42 1.51137
  8 42 -0.193639
  9 42 0.508653
  10 42 -0.859873
  11 42 -0.922511
  12 42 1.59512
  13 42 0.363615
  14 42 0.672537
  15 42 0.0548175
  16 42 0.0226534
  17 42 0.657402
  18 42 1.15829
  19 42 -0.563742
  20 42 -0.981837
4400 20 840
  1 42 1.09826
  2 42 -0.673827
  3 42 0.796435
  4 42 -0.167597
  5 42 1.0998
  6 42 -0.128925
  7 42 1.38288
  8 42 -0.0876864
  9 42 1.01976
  10 42 -1.80806
  11 42 0.213203
  12 42 0.179944
  13 42 0.435536
  14 42 0.499629
  15 42 -0.240286
  16 42 1.32431
  17 42 -0.418995
  18 42 -1.27067
  19 42 -0.678451
  20 42 0.238775
4500 20 840
  1 42 0.035962
  2 42 -0.948385
  3 42 0.95077
  4 42 -0.0197408
  5 42 -0.229474
  6 42 -1.5158
  7 42 0.320208
  8 42 -0.26878
  9 42 0.373457
  10 42 0.116186
  11 42 0.111336
  12 42 0.657319
  13 42 0.191807
  14 42 0.212288
  15 42 -0.373608
  16 42 -1.79793
  17 42 1.12895
  18 42 -0.488128
  19 42 -0.504419
  20 42 0.856277
4600 20 840
  1 42 -0.0639691
  2 42 -1.46897
  3 42 -0.231852
  4 42 0.420322
  5 42 1.48304
  6 42 1.0173
  7 42 -0.349366
  8 42 -1.31706
  9 42 0.0118111
  10 42 -0.702508
  11 42 -0.51028
  12 42 0.224992
  13 42 -0.610799
  14 42 -0.290099
  15 42 0.255648
  16 42 -0.691043
  17 42 -0.71383
  18 42 -0.117384
  19 42 1.05364
  20 42 -1.71788
4700 20 840
  1 42 0.0546485
  2 42 -0.449395
  3 42 0.38595
  4 42 0.202787
  5 42 -1.69035
  6 42 -0.269366
  7 42 -1.50877
  8 42 -0.71624
  9 42 0.217337
  10 42 -0.0994291
  11 42 0.0540498
  12 42 -0.119178
  13 42 0.0699396
  14 42 -0.569279
  15 42 1.33139
  16 42 -0.71197
  17 42 0.954499
  18 42 0.0136135
  19 42 -2.2591
  20 42 0.0397906
4800 20 840
  1 42 -0.4994
  2 42 0.475316
  3 42 -1.55294
  4 42 -0.268555
  5 42 -0.750101
  6 42 -1.65949
  7 42 -0.990885
  8 42 0.284733
  9 42 1.09893
  10 42 -0.451679
  11 42 -3.14712
  12 42 -1.91675
  13 42 -0.333028
  14 42 -0.212912
  15 42 -0.918496
  16 42 0.851196
  17 42 -0.637776
  18 42 -0.977213
  19 42 -0.245618
  20 42 1.37336
4900 20 840
  1 42 -1.72303
  2 42 -0.399247
  3 42 -0.759178
  4 42 0.610093
  5 42 -0.0659935
  6 42 -1.19724
  7 42 -0.523671
  8 42 -0.410431
  9 42 -2.21207
  10 42 -0.236138
  11 42 -2.01813
  12 42 -0.701415
  13 42 0.945472
  14 42 0.140992
  15 42 2.15434
  16 42 -1.12897
  17 42 0.950016
  18 42 0.74049
  19 42 1.12442
  20 42 0.195385
5000 20 840
  1 42 0.189071
  2 42 0.283266
  3 42 0.304149
  4 42 1.46505
  5 42 -1.38479
  6 42 -0.191177
  7 42 -2.41016
  8 42 -0.037338
  9 42 0.857058
  10 42 -0.181982
  11 42 -0.00274787
  12 42 -0.472129
  13 42 -0.115271
  14 42 -0.250509
  15 42 -0.168274
  16 42 0.852613
  17 42 -0.061583
  18 42 -0.347106
  19 42 -1.71254
  20 42 -0.491452
5100 20 840
  1 42 -0.0225742
  2 42 -2.04127
  3 42 0.523329
  4 42 0.154385
  5 42 -1.42856
  6 42 0.424525
  7 42 0.860575
  8 42 0.590373
  9 42 0.333064
  10 42 0.216914
  11 42 2.16505
  12 42 0.543994
  13 42 -1.01466
  14 42 -0.577834
  15 42 0.783346
  16 42 -1.08113
  17 42 0.0790038
  18 42 1.0851
  19 42 -0.105284
