# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
  12 42 0.0045311
  13 42 -0.156436
  14 42 -0.875355
  15 42 0.610978
  16 42 1.22936
  17 42 -2.97441
  18 42 0.000768732
  19 42 -0.184531
  20 42 0.139963
4400 20 840
  1 42 1.44196
  2 42 -0.21653
  3 42 0.806355
  4 42 -1.81231
  5 42 1.31603
  6 42 0.191977
  7 42 -0.298324
  8 42 -0.887191
  9 42 -0.1453
  10 42 -1.29477
  11 42 0.31053
  12 42 -0.573004
  13 42 0.626166
  14 42 -0.920866
  15 42 0.659024
  16 42 1.73418
  17 42 -1.10334
  18 42 -0.914985
  19 42 -0.133651
  20 42 0.973952
4500 20 840
  1 42 1.26908
  2 42 0.102762
  3 42 0.916377
  4 42 0.0788838
  5 42 0.346026
  6 42 1.44277
  7 42 0.26614
  8 42 -1.13887
  9 42 -1.05352
  10 42 1.8106
  11 42 -1.7698
  12 42 0.509933
  13 42 -0.0790262
  14 42 0.378368
  15 42 -1.36936
  16 42 0.551127
  17 42 -1.81424
  18 42 -1.13567
  19 42 -0.873678
  20 42 0.935688
4600 20 840
  1 42 2.08984
  2 42 -1.84363
  3 42 -0.460209
  4 42 0.58912
  5 42 -1.88946
  6 42 -0.870696
  7 42 1.18404
  8 42 -1.00113
  9 42 -0.392964
  10 42 -0.629013
  11 42 0.54501
  12 42 0.250468
  13 42 -0.569398
  14 42 -1.89616
  15 42 0.396501
  16 42 -0.131687
  17 42 -1.25611
  18 42 -0.184889
  19 42 -0.579626
  20 42 -2.21798
4700 20 840
  1 42 -0.466608
  2 42 3.02645
  3 42 0.856543
  4 42 -2.38629
  5 42 1.03828
  6 42 -2.37185
  7 42 1.61979
  8 42 -1.73881
  9 42 -0.187462
  10 42 0.977239
  11 42 1.26077
  12 42 1.51997
  13 42 -0.939392
  14 42 -1.1557
  15 42 0.0586094
  16 42 -0.874361
  17 42 -0.134046
  18 42 -2.00865
  19 42 -0.287056
  20 42 1.78179
4800 20 840
  1 42 0.348612
  2 42 -1.36646
  3 42 -1.36739
  4 42 1.83788
  5 42 1.89404
  6 42 -0.436664
  7 42 0.891485
  8 42 -1.96038
  9 42 -0.226407
  10 42 -1.83035
  11 42 2.25933
  12 42 0.388017
  13 42 0.319297
  14 42 1.10456
  15 42 0.331456
  16 42 1.0888
  17 42 -0.953828
  18 42 -0.011007
