# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  15 42 0.17852
  16 42 -1.0408
  17 42 -1.41583
  18 42 -1.93785
  19 42 0.896049
  20 42 1.08242
5600 20 840
  1 42 0.96589
  2 42 0.345993
  3 42 -1.04593
  4 42 -0.733576
  5 42 0.724753
  6 42 -2.1391
  7 42 0.255056
  8 42 -2.53037
  9 42 1.31039
  10 42 1.11963
  11 42 -1.03291
  12 42 -1.2418
  13 42 2.03311
  14 42 -1.98576
  15 42 0.386623
  16 42 -1.59608
  17 42 0.847279
  18 42 0.292581
  19 42 0.025322
  20 42 0.0227475
5700 20 840
  1 42 0.55975
  2 42 -1.23263
  3 42 -3.07372
  4 42 -0.671382
  5 42 -0.457023
  6 42 -0.0631484
  7 42 1.75089
  8 42 -0.495369
  9 42 2.25768
  10 42 1.24499
  11 42 -0.31906
  12 42 1.86459
  13 42 -1.89368
  14 42 1.5462
  15 42 -2.01377
  16 42 -2.84284
  17 42 2.88777
  18 42 0.104482
  19 42 0.775907
  20 42 -2.14632
5800 20 840
  1 42 0.333485
  2 42 0.25209
  3 42 -2.59905
  4 42 -1.15958
  5 42 -0.325131
  6 42 -0.539148
  7 42 -0.530516
  8 42 0.815058
  9 42 1.37563
  10 42 -0.704463
  11 42 0.440432
  12 42 -0.219868
  13 42 -0.267236
  14 42 0.854755
  15 42 -0.66694
  16 42 0.642442
  17 42 -0.282622
  18 42 -0.147861
  19 42 0.196878
  20 42 2.33791
5900 20 840
  1 42 0.285815
  2 42 1.1053
  3 42 0.170471
  4 42 1.03234
  5 42 -1.40892
  6 42 0.144504
  7 42 -0.804193
  8 42 0.211809
  9 42 1.35207
  10 42 -1.13693
  11 42 -0.508338
  12 42 -0.549803
  13 42 1.13055
  14 42 1.29881
  15 42 0.598604
  16 42 0.148098
  17 42 -0.886986
  18 42 1.17471
  19 42 1.68211
  20 42 0.025173
6000 20 840
  1 42 0.214458
  2 42 1.09069
  3 42 -0.069097
  4 42 1.20543
  5 42 2.5357
  6 42 -1.64035
  7 42 -0.759552
  8 42 0.241676
  9 42 1.40695
  10 42 -0.930088
  11 42 0.0017072
  12 42 -0.763277
  13 42 0.861633
  14 42 1.09927
  15 42 -0.532148
  16 42 0.0106343
  17 42 -0.0724634
  18 42 0.97367
  19 42 0.920426
  20 42 -1.91158
6100 20 840
  1 42 0.40646
  2 42 -0.31483
  3 42 0.194956
  4 42 1.36711
  5 42 1.64259
  6 42 -1.72811
  7 42 0.312477
  8 42 -0.232072
  9 42 -0.259312
  10 42 -0.0725147
  11 42 -1.9768
  12 42 0.515527
  13 42 -0.432351
  14 42 -1.60916
  15 42 0.403942
  16 42 1.76485
  17 42 1.21323
  18 42 -0.143708
  19 42 0.414894
  20 42 -1.73552
6200 20 840
  1 42 -0.155064
  2 42 -0.988985
  3 42 -0.618005
  4 42 -0.649601
  5 42 0.674516
  6 42 -1.21955
  7 42 -0.812541
  8 42 0.214732
  9 42 -1.55393
  10 42 -0.825057
  11 42 -0.885403
