# Chunk-averaged data for fix tensions and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netTension
  5 32 0.497093
  6 32 -0.116443
  7 32 -0.191939
  8 32 0.132166
  9 32 -0.122775
  10 32 -0.29655
  11 32 -0.281101
  12 32 -0.267684
  13 32 -1.00437
  14 32 0.227351
  15 32 -2.44712
  16 32 1.37447
  17 32 0.155707
  18 32 -0.867668
  19 32 0.221247
  20 32 -0.0385799
4700 20 640
  1 32 0.153688
  2 32 0.204733
  3 32 0.253485
  4 32 0.0503122
  5 32 0.196077
  6 32 0.874292
  7 32 -1.28709
  8 32 -0.443384
  9 32 -0.328314
  10 32 -0.329821
  11 32 -0.90373
  12 32 -0.0968225
  13 32 -0.603444
  14 32 -0.352224
  15 32 -0.106187
  16 32 -0.54611
  17 32 0.382556
  18 32 0.394895
  19 32 0.164817
  20 32 -0.491242
4800 20 640
  1 32 0.174229
  2 32 0.681287
  3 32 0.896774
  4 32 -0.419661
  5 32 -0.724205
  6 32 1.34868
  7 32 -2.09295
  8 32 -0.326355
  9 32 -0.773293
  10 32 -0.21638
  11 32 -0.957146
  12 32 -0.113818
  13 32 0.1811
  14 32 -0.612792
  15 32 2.34851
  16 32 -2.29716
  17 32 0.338257
  18 32 1.63404
  19 32 0.390386
  20 32 -0.876194
4900 20 640
  1 32 0.157363
  2 32 0.75235
  3 32 1.83465
  4 32 -1.45684
  5 32 -1.59405
  6 32 1.48872
  7 32 -2.58793
  8 32 -0.643202
  9 32 -1.36623
  10 32 0.153802
  11 32 -0.976773
  12 32 0.297419
  13 32 0.359491
  14 32 -0.629035
  15 32 4.40666
  16 32 -3.89546
  17 32 0.0808708
  18 32 1.84914
  19 32 0.409229
  20 32 -0.942068
5000 20 640
  1 32 0.0515307
  2 32 0.701217
  3 32 1.13979
  4 32 -2.58336
  5 32 -1.92367
  6 32 1.78164
  7 32 -2.4384
  8 32 -0.66783
  9 32 -1.43603
  10 32 0.405116
  11 32 -0.4777
  12 32 0.307122
  13 32 0.304193
  14 32 -0.791776
  15 32 5.66354
  16 32 -4.85042
  17 32 0.09516
  18 32 2.09312
  19 32 0.806427
  20 32 -0.65818
5100 20 640
  1 32 -0.027432
  2 32 0.857421
  3 32 0.733416
  4 32 -2.17184
  5 32 -2.33816
  6 32 1.39951
  7 32 -1.61639
  8 32 -0.444452
  9 32 -0.949419
  10 32 0.645399
  11 32 -0.122148
  12 32 -0.0198051
  13 32 0.713705
  14 32 -0.496412
  15 32 5.74545
  16 32 -4.96187
  17 32 -0.00775684
  18 32 1.79924
  19 32 0.470025
  20 32 -0.29844
5200 20 640
  1 32 -0.136901
  2 32 0.798483
  3 32 0.373126
  4 32 -1.49984
  5 32 -1.95553
  6 32 0.711223
  7 32 -0.802863
  8 32 -0.115798
  9 32 -0.577325
  10 32 0.26014
  11 32 -0.0415915
  12 32 -0.037744
  13 32 0.387328
  14 32 0.114908
  15 32 3.92373
  16 32 -4.07465
  17 32 -0.23142
  18 32 1.26701
  19 32 0.543786
  20 32 0.174708
5300 20 640
  1 32 -0.22549
  2 32 0.556104
  3 32 -0.308048
  4 32 -0.182518
  5 32 -1.11496
  6 32 0.188913
  7 32 0.57058
  8 32 0.552261
  9 32 -0.409165
  10 32 0.167518
  11 32 0.289856
  12 32 0.133452
  13 32 0.197397
  14 32 0.369006
  15 32 1.77655
  16 32 -2.22347
  17 32 -0.344935
  18 32 0.521123
  19 32 0.86128
  20 32 0.470158
5400 20 640
  1 32 -0.216645
  2 32 0.0919784
  3 32 -0.825614
  4 32 0.355038
  5 32 -0.187374
  6 32 -0.648537
  7 32 1.79241
  8 32 0.924542
  9 32 0.302868
  10 32 0.2063
  11 32 0.326328
  12 32 0.119386
  13 32 0.570303
  14 32 0.465916
  15 32 -0.647641
  16 32 -0.101408
  17 32 -0.452655
  18 32 -0.666104
  19 32 0.782525
  20 32 0.424898
5500 20 640
  1 32 -0.181251
  2 32 -0.259878
  3 32 -1.02947
  4 32 1.01223
  5 32 0.809031
  6 32 -1.47808
  7 32 2.4653
  8 32 0.810441
  9 32 0.29676
  10 32 -0.233181
  11 32 0.291559
  12 32 0.0194561
  13 32 0.663741
  14 32 0.442974
  15 32 -3.14455
  16 32 2.3351
  17 32 -0.181327
  18 32 -1.67624
  19 32 0.616598
  20 32 0.494853
5600 20 640
  1 32 -0.230093
  2 32 -0.828375
  3 32 -1.30884
  4 32 0.974589
  5 32 1.54019
  6 32 -1.78801
  7 32 2.42685
  8 32 1.12117
  9 32 0.490486
  10 32 -0.00998171
  11 32 0.0825296
  12 32 0.0908272
  13 32 0.600708
  14 32 0.389763
  15 32 -4.29225
  16 32 3.81216
  17 32 -0.126269
  18 32 -2.29245
  19 32 0.600641
  20 32 0.507992
5700 20 640
  1 32 -0.0248836
  2 32 -1.23072
  3 32 -0.906255
  4 32 0.749536
  5 32 1.78345
  6 32 -1.50529
  7 32 2.54829
  8 32 1.06193
  9 32 0.465594
  10 32 -0.292484
  11 32 0.0812459
  12 32 0.355128
  13 32 0.617569
  14 32 0.312977
  15 32 -5.05814
  16 32 4.21956
  17 32 -0.667684
  18 32 -1.97447
  19 32 0.524432
  20 32 -0.0653523
5800 20 640
  1 32 0.215584
  2 32 -1.22154
  3 32 -0.286724
  4 32 0.598008
  5 32 1.34903
  6 32 -1.12033
  7 32 1.45566
  8 32 0.722462
  9 32 0.158099
  10 32 -0.249253
  11 32 0.204261
  12 32 0.309677
  13 32 0.776039
  14 32 0.162146
  15 32 -4.91854
  16 32 4.00242
  17 32 -0.591677
  18 32 -1.05279
  19 32 -0.194249
  20 32 -0.331166
5900 20 640
  1 32 0.212655
  2 32 -1.01068
  3 32 0.272993
  4 32 0.536474
  5 32 0.597282
  6 32 -0.7336
  7 32 -0.286554
  8 32 0.176149
  9 32 0.226012
  10 32 -0.100995
  11 32 0.320021
  12 32 0.52311
  13 32 0.744035
  14 32 -0.0319687
  15 32 -3.70412
  16 32 3.34976
  17 32 -0.107992
  18 32 -0.359968
  19 32 -0.638218
  20 32 -0.356664
6000 20 640
  1 32 0.149976
  2 32 -0.753468
  3 32 0.615898
  4 32 0.160935
  5 32 0.201498
  6 32 0.158653
  7 32 -1.5105
  8 32 -0.809742
  9 32 0.474938
  10 32 0.0645434
  11 32 0.0666835
  12 32 0.489731
  13 32 0.255335
  14 32 -0.124898
  15 32 -1.76629
  16 32 1.65515
  17 32 0.171195
  18 32 0.522096
  19 32 -0.614295
  20 32 -0.0695348
6100 20 640
  1 32 0.161668
  2 32 -0.534685
  3 32 0.835956
  4 32 -0.000611244
  5 32 -0.435345
  6 32 -0.20108
  7 32 -2.20382
  8 32 -1.07941
  9 32 0.39368
  10 32 0.27696
  11 32 -0.136448
  12 32 0.420327
  13 32 -0.217945
  14 32 -0.237036
  15 32 0.235768
  16 32 -0.356249
  17 32 0.527547
  18 32 1.56637
  19 32 -1.45931
  20 32 -0.0434623
6200 20 640
  1 32 0.225752
  2 32 -0.0433241
  3 32 1.36946
  4 32 -0.222685
  5 32 -0.920782
  6 32 0.345273
  7 32 -2.60215
  8 32 -1.69647
  9 32 0.59047
  10 32 0.0875864
  11 32 -0.176641
  12 32 -0.450953
  13 32 0.00349756
  14 32 -0.334813
  15 32 1.55509
